Timestamp,TH1,TH2,TH3,TH4
2023-12-19 22:14:17.331,101.6,101.6,101.6,26.5
2023-12-19 22:14:17.445,101.6,101.6,101.6,26.5
2023-12-19 22:14:17.558,101.6,101.6,101.6,26.6
2023-12-19 22:14:17.666,101.6,101.6,101.6,26.5
2023-12-19 22:14:17.775,101.6,101.6,101.6,26.5
2023-12-19 22:14:17.883,101.6,101.6,101.6,26.5
2023-12-19 22:14:17.990,101.6,101.6,101.6,26.5
2023-12-19 22:14:18.099,101.6,101.6,101.6,26.5
2023-12-19 22:14:18.208,101.6,101.6,101.6,26.5
2023-12-19 22:14:18.316,101.6,101.6,101.6,26.5
2023-12-19 22:14:18.428,101.6,101.6,101.6,26.5
2023-12-19 22:14:18.536,101.6,101.6,101.6,26.5
2023-12-19 22:14:18.644,101.6,101.6,101.6,26.5
2023-12-19 22:14:18.754,101.6,101.6,101.6,26.6
2023-12-19 22:14:18.867,101.6,101.6,101.6,26.5
2023-12-19 22:14:18.977,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.083,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.191,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.300,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.410,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.518,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.627,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.737,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.846,101.6,101.6,101.6,26.5
2023-12-19 22:14:19.956,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.065,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.176,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.285,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.397,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.508,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.619,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.729,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.837,101.6,101.6,101.6,26.5
2023-12-19 22:14:20.947,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.058,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.169,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.280,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.388,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.501,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.611,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.720,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.830,101.6,101.6,101.6,26.5
2023-12-19 22:14:21.940,101.6,101.6,101.6,26.6
2023-12-19 22:14:22.052,101.6,101.6,101.6,26.5
2023-12-19 22:14:22.163,101.6,101.6,101.6,26.5
2023-12-19 22:14:22.272,101.6,101.6,101.6,26.5
2023-12-19 22:14:22.381,101.6,101.6,101.6,26.5
2023-12-19 22:14:22.491,101.6,101.6,101.6,26.5
2023-12-19 22:14:22.602,101.6,101.6,101.6,26.5
2023-12-19 22:14:22.712,101.6,101.6,101.6,26.5
