Timestamp,TH1,TH2,TH3,TH4
2022-07-11 17:22:58.367,101.6,101.6,101.6,27.4
2022-07-11 17:22:58.475,101.6,101.6,101.6,27.4
2022-07-11 17:22:58.587,101.6,101.6,101.6,27.4
2022-07-11 17:22:58.693,101.6,101.6,101.6,27.4
2022-07-11 17:22:58.802,101.6,101.6,101.6,27.4
2022-07-11 17:22:58.911,101.6,101.6,101.6,27.4
2022-07-11 17:22:59.020,101.6,101.6,101.6,27.4
2022-07-11 17:22:59.131,101.6,101.6,101.6,27.4
2022-07-11 17:22:59.237,101.6,101.6,101.6,27.4
2022-07-11 17:22:59.348,101.6,101.6,101.6,27.5
2022-07-11 17:22:59.456,101.6,101.6,101.6,27.5
2022-07-11 17:22:59.568,101.6,101.6,101.6,27.4
2022-07-11 17:22:59.678,101.6,101.6,101.6,27.5
2022-07-11 17:22:59.785,101.6,101.6,101.6,27.5
2022-07-11 17:22:59.895,101.6,101.6,101.6,27.4
2022-07-11 17:23:00.021,101.6,101.6,101.6,27.5
2022-07-11 17:23:00.130,101.6,101.6,101.6,27.5
2022-07-11 17:23:00.237,101.6,101.6,101.6,27.5
2022-07-11 17:23:00.349,101.6,101.6,101.6,27.5
2022-07-11 17:23:00.455,101.6,101.6,101.6,27.4
2022-07-11 17:23:00.566,101.6,101.6,101.6,27.5
2022-07-11 17:23:00.673,101.6,101.6,101.6,27.5
2022-07-11 17:23:00.784,101.6,101.6,101.6,27.5
2022-07-11 17:23:00.892,101.6,101.6,101.6,27.5
2022-07-11 17:23:00.996,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.107,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.213,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.323,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.429,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.538,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.651,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.761,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.868,101.6,101.6,101.6,27.5
2022-07-11 17:23:01.976,101.6,101.6,101.6,27.5
2022-07-11 17:23:02.086,101.6,101.6,101.6,27.5
2022-07-11 17:23:02.193,101.6,101.6,101.6,27.5
2022-07-11 17:23:02.301,101.6,101.6,101.6,27.5
2022-07-11 17:23:02.410,101.6,101.6,101.6,27.5
2022-07-11 17:23:02.519,101.6,101.6,101.6,27.5
2022-07-11 17:23:02.630,101.6,101.6,101.6,27.6
